PERFUME_ID,OCCASION,ratio,LOAD_DT
8683,Leisure,20.9,2026-01-20 08:39:35
8683,Evening,16.42,2026-01-20 08:39:35
8684,Evening,27.78,2026-01-20 08:39:35
8684,Night Out,25.23,2026-01-20 08:39:35
8684,Daily,17.13,2026-01-20 08:39:35
8684,Leisure,15.51,2026-01-20 08:39:35
8685,Daily,24.49,2026-01-20 08:39:35
8685,Business,22.92,2026-01-20 08:39:35
8685,Leisure,21.35,2026-01-20 08:39:35
8685,Evening,15.73,2026-01-20 08:39:35
8685,Night Out,15.51,2026-01-20 08:39:35
8687,Daily,29.31,2026-01-20 08:39:35
8687,Leisure,29.31,2026-01-20 08:39:35
8687,Business,27.59,2026-01-20 08:39:35
8689,Daily,25.62,2026-01-20 08:39:35
8689,Leisure,25.62,2026-01-20 08:39:35
8689,Business,23.88,2026-01-20 08:39:35
8691,Daily,29.27,2026-01-20 08:39:35
8691,Leisure,29.27,2026-01-20 08:39:35
8691,Evening,17.07,2026-01-20 08:39:35
8692,Daily,22.79,2026-01-20 08:39:35
8692,Evening,20.04,2026-01-20 08:39:35
8692,Business,19.84,2026-01-20 08:39:35
8692,Leisure,18.86,2026-01-20 08:39:35
8692,Night Out,18.47,2026-01-20 08:39:35
8695,Daily,24.56,2026-01-20 08:39:35
8695,Leisure,24.56,2026-01-20 08:39:35
8695,Business,21.05,2026-01-20 08:39:35
8696,Daily,23.65,2026-01-20 08:39:35
8696,Leisure,20.27,2026-01-20 08:39:35
8696,Business,20.05,2026-01-20 08:39:35
8696,Evening,19.37,2026-01-20 08:39:35
8696,Night Out,16.67,2026-01-20 08:39:35
8697,Daily,22.67,2026-01-20 08:39:35
8697,Business,21.56,2026-01-20 08:39:35
8697,Leisure,19.11,2026-01-20 08:39:35
8697,Evening,18.44,2026-01-20 08:39:35
8697,Night Out,18.22,2026-01-20 08:39:35
8699,Evening,35.69,2026-01-20 08:39:35
8699,Night Out,33.71,2026-01-20 08:39:35
8699,Leisure,15.01,2026-01-20 08:39:35
8700,Leisure,29.23,2026-01-20 08:39:35
8700,Daily,26.15,2026-01-20 08:39:35
8700,Business,23.08,2026-01-20 08:39:35
8701,Daily,26.76,2026-01-20 08:39:35
8701,Leisure,24.69,2026-01-20 08:39:35
8701,Sport,21.24,2026-01-20 08:39:35
8701,Business,18.66,2026-01-20 08:39:35
8703,Evening,32.43,2026-01-20 08:39:35
8703,Night Out,30.27,2026-01-20 08:39:35
8703,Leisure,17.84,2026-01-20 08:39:35
8704,Leisure,27.5,2026-01-20 08:39:35
8704,Night Out,22.5,2026-01-20 08:39:35
8704,Business,20.0,2026-01-20 08:39:35
8704,Daily,17.5,2026-01-20 08:39:35
8705,Leisure,24.66,2026-01-20 08:39:35
8705,Evening,24.57,2026-01-20 08:39:35
8705,Night Out,22.11,2026-01-20 08:39:35
8705,Daily,18.65,2026-01-20 08:39:35
8707,Evening,33.54,2026-01-20 08:39:35
8707,Night Out,31.37,2026-01-20 08:39:35
8707,Leisure,16.77,2026-01-20 08:39:35
8708,Leisure,25.45,2026-01-20 08:39:35
8708,Daily,23.64,2026-01-20 08:39:35
8708,Business,23.64,2026-01-20 08:39:35
8708,Night Out,16.36,2026-01-20 08:39:35
8709,Daily,26.14,2026-01-20 08:39:35
8709,Leisure,23.72,2026-01-20 08:39:35
8709,Business,22.46,2026-01-20 08:39:35
8711,Daily,26.85,2026-01-20 08:39:35
8711,Business,25.17,2026-01-20 08:39:35
8711,Leisure,22.15,2026-01-20 08:39:35
8712,Daily,32.5,2026-01-20 08:39:35
8712,Leisure,25.0,2026-01-20 08:39:35
8712,Business,15.0,2026-01-20 08:39:35
8713,Evening,29.94,2026-01-20 08:39:35
8713,Night Out,28.96,2026-01-20 08:39:35
8713,Leisure,17.42,2026-01-20 08:39:35
8715,Leisure,29.0,2026-01-20 08:39:35
8715,Daily,27.51,2026-01-20 08:39:35
8715,Business,16.73,2026-01-20 08:39:35
8716,Daily,32.56,2026-01-20 08:39:35
8716,Leisure,32.56,2026-01-20 08:39:35
8717,Evening,24.73,2026-01-20 08:39:35
8717,Night Out,24.63,2026-01-20 08:39:35
8717,Leisure,18.79,2026-01-20 08:39:35
