PERFUME_ID,SEASON,ratio,LOAD_DT
8542,Fall,28.95,2026-01-20 08:39:39
8542,Spring,28.95,2026-01-20 08:39:39
8542,Summer,26.32,2026-01-20 08:39:39
8543,Spring,37.39,2026-01-20 08:39:39
8543,Summer,36.86,2026-01-20 08:39:39
8546,Spring,38.54,2026-01-20 08:39:39
8546,Summer,37.5,2026-01-20 08:39:39
8547,Fall,30.72,2026-01-20 08:39:39
8547,Spring,27.58,2026-01-20 08:39:39
8547,Winter,24.66,2026-01-20 08:39:39
8550,Spring,32.89,2026-01-20 08:39:39
8550,Fall,31.58,2026-01-20 08:39:39
8550,Summer,23.68,2026-01-20 08:39:39
8551,Spring,39.75,2026-01-20 08:39:39
8551,Summer,35.93,2026-01-20 08:39:39
8555,Spring,40.4,2026-01-20 08:39:39
8555,Summer,38.38,2026-01-20 08:39:39
8558,Spring,37.36,2026-01-20 08:39:39
8558,Summer,32.97,2026-01-20 08:39:39
8558,Fall,20.88,2026-01-20 08:39:39
8559,Spring,33.04,2026-01-20 08:39:39
8559,Summer,25.99,2026-01-20 08:39:39
8559,Fall,24.67,2026-01-20 08:39:39
8562,Spring,31.96,2026-01-20 08:39:39
8562,Fall,26.8,2026-01-20 08:39:39
8562,Summer,23.71,2026-01-20 08:39:39
8563,Spring,35.15,2026-01-20 08:39:39
8563,Summer,28.25,2026-01-20 08:39:39
8563,Fall,24.4,2026-01-20 08:39:39
8567,Spring,33.76,2026-01-20 08:39:39
8567,Summer,30.62,2026-01-20 08:39:39
8567,Fall,23.46,2026-01-20 08:39:39
8570,Spring,34.92,2026-01-20 08:39:39
8570,Summer,30.16,2026-01-20 08:39:39
8570,Fall,26.98,2026-01-20 08:39:39
8571,Fall,31.37,2026-01-20 08:39:39
8571,Spring,29.35,2026-01-20 08:39:39
8571,Winter,20.96,2026-01-20 08:39:39
8578,Spring,35.85,2026-01-20 08:39:39
8578,Summer,28.59,2026-01-20 08:39:39
8578,Fall,23.04,2026-01-20 08:39:39
8579,Spring,36.49,2026-01-20 08:39:39
8579,Fall,27.03,2026-01-20 08:39:39
8579,Summer,20.27,2026-01-20 08:39:39
8582,Spring,32.07,2026-01-20 08:39:39
8582,Summer,28.1,2026-01-20 08:39:39
8582,Fall,25.12,2026-01-20 08:39:39
8584,Spring,42.19,2026-01-20 08:39:39
8584,Summer,28.12,2026-01-20 08:39:39
8586,Fall,31.48,2026-01-20 08:39:39
8586,Spring,26.96,2026-01-20 08:39:39
8586,Winter,22.26,2026-01-20 08:39:39
8588,Spring,36.78,2026-01-20 08:39:39
8588,Summer,31.03,2026-01-20 08:39:39
8588,Fall,20.69,2026-01-20 08:39:39
